,track_id,name,album,artist,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,valence,genre
10,4F7A0DXBrmUAkp32uenhZt,Party Monster,Starboy,The Weeknd,79,0.573,0.189,0.63,2.31e-05,0.259,-8.389,0.105,77.525,1,0.218,"['canadian contemporary r&b', 'canadian pop', 'pop']"
11,4UknpXoLjlB7Mao4UWcJ2o,A Lonely Night,Starboy,The Weeknd,61,0.853,0.0431,0.663,8.65e-06,0.0891,-6.955,0.0755,113.999,7,0.864,"['canadian contemporary r&b', 'canadian pop', 'pop']"
12,6pDVjCUA3B1vg9waKutAsv,Attention,Starboy,The Weeknd,63,0.671,0.688,0.428,0.000182,0.119,-7.052,0.124,148.04,4,0.362,"['canadian contemporary r&b', 'canadian pop', 'pop']"
13,4oeaIftdpT3JuZLcCkKmVE,False Alarm,Starboy,The Weeknd,67,0.517,0.0324,0.677,3.37e-05,0.189,-6.373,0.0746,173.978,8,0.192,"['canadian contemporary r&b', 'canadian pop', 'pop']"
14,15k2nBQJ0teDmPZHrOXL2N,Ordinary Life,Starboy,The Weeknd,62,0.537,0.0275,0.587,0.0,0.0961,-7.486,0.0771,149.748,7,0.365,"['canadian contemporary r&b', 'canadian pop', 'pop']"
15,4h90qkbnW1Qq6pBhoPvwko,Sidewalks,Starboy,The Weeknd,71,0.542,0.147,0.72,0.0,0.348,-5.136,0.0628,149.828,1,0.623,"['canadian contemporary r&b', 'canadian pop', 'pop']"
16,36YCdzT57us0LhDmCYtrNE,Rockin’,Starboy,The Weeknd,64,0.738,0.0133,0.885,0.0,0.0821,-5.547,0.206,112.878,9,0.752,"['canadian contemporary r&b', 'canadian pop', 'pop']"
17,4mU5iXHeLgbR94siF7p1sY,Six Feet Under,Starboy,The Weeknd,67,0.772,0.129,0.504,0.0,0.125,-8.219,0.0761,140.035,6,0.244,"['canadian contemporary r&b', 'canadian pop', 'pop']"
18,2Ch7LmS7r2Gy2kc64wv3Bz,Die For You,Starboy,The Weeknd,81,0.586,0.111,0.525,0.0,0.134,-7.163,0.0616,133.63,1,0.507,"['canadian contemporary r&b', 'canadian pop', 'pop']"
19,3dhjNA0jGA8vHBQ1VdD6vV,I Feel It Coming,Starboy,The Weeknd,79,0.773,0.428,0.819,0.0,0.0679,-5.946,0.118,92.987,0,0.585,"['canadian contemporary r&b', 'canadian pop', 'pop']"
20,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,"My Dear Melancholy,",The Weeknd,85,0.461,0.165,0.593,0.0,0.307,-4.954,0.0356,134.165,1,0.174,"['canadian contemporary r&b', 'canadian pop', 'pop']"
21,4ppTAJUbNXELZcoUaL90wo,Try Me,"My Dear Melancholy,",The Weeknd,71,0.453,0.596,0.679,0.000578,0.129,-5.778,0.0651,92.023,8,0.107,"['canadian contemporary r&b', 'canadian pop', 'pop']"
22,1cKHdTo9u0ZymJdPGSh6nq,I Was Never There,"My Dear Melancholy,",The Weeknd,84,0.323,0.14,0.737,0.000162,0.163,-4.008,0.0335,112.923,10,0.156,"['canadian contemporary r&b', 'canadian pop', 'pop']"
23,6QdnKD1zwEgyOWtkrdzlOF,Hurt You,"My Dear Melancholy,",The Weeknd,71,0.477,0.259,0.718,0.00275,0.109,-7.227,0.15,183.934,5,0.361,"['canadian contemporary r&b', 'canadian pop', 'pop']"
24,6b5P51m8xx2XA6U7sdNZ5E,Alone Again,After Hours,The Weeknd,66,0.405,0.0329,0.653,0.109,0.172,-7.953,0.0423,136.066,4,0.0622,"['canadian contemporary r&b', 'canadian pop', 'pop']"
25,2K9Ovn1o2bTGqbsABGC6m3,Too Late,After Hours,The Weeknd,65,0.637,0.0524,0.863,5.46e-05,0.685,-5.221,0.131,120.077,4,0.226,"['canadian contemporary r&b', 'canadian pop', 'pop']"
26,6kWxIqQDsKFYCJGbU4AjCX,Hardest To Love,After Hours,The Weeknd,65,0.392,0.0909,0.608,8.83e-05,0.125,-7.847,0.0713,81.898,7,0.111,"['canadian contemporary r&b', 'canadian pop', 'pop']"
27,4BGZF4oLbTL0pWm7C18pbv,Scared To Live,After Hours,The Weeknd,64,0.488,0.131,0.498,0.0,0.0929,-8.24,0.0479,87.419,0,0.198,"['canadian contemporary r&b', 'canadian pop', 'pop']"
28,6bnF93Rx87YqUBLSgjiMU8,Heartless,After Hours,The Weeknd,81,0.537,0.0236,0.746,1e-06,0.156,-5.507,0.15,170.083,10,0.252,"['canadian contemporary r&b', 'canadian pop', 'pop']"
29,3orEOtd8CPL8GFlpRpKuoE,Faith,After Hours,The Weeknd,67,0.37,0.612,0.603,0.0439,0.147,-7.268,0.0735,175.962,0,0.125,"['canadian contemporary r&b', 'canadian pop', 'pop']"
30,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,After Hours,The Weeknd,90,0.513,0.00143,0.73,9.54e-05,0.0897,-5.94,0.0598,171.001,1,0.334,"['canadian contemporary r&b', 'canadian pop', 'pop']"
31,7szuecWAPwGoV1e5vGu8tl,In Your Eyes,After Hours,The Weeknd,77,0.667,0.0028,0.719,7.92e-05,0.0736,-5.371,0.0346,100.019,7,0.718,"['canadian contemporary r&b', 'canadian pop', 'pop']"
32,5QO79kh1waicV47BqGRL3g,Save Your Tears,After Hours,The Weeknd,86,0.679,0.0212,0.825,1.21e-05,0.543,-5.487,0.0309,118.049,0,0.644,"['canadian contemporary r&b', 'canadian pop', 'pop']"
33,40U8d12pC5UHqmHwXjHjjl,Repeat After Me (Interlude),After Hours,The Weeknd,62,0.555,0.0315,0.62,0.000225,0.0917,-7.918,0.0314,95.035,0,0.139,"['canadian contemporary r&b', 'canadian pop', 'pop']"
34,2p8IUWQDrpjuFltbdgLOag,After Hours,After Hours,The Weeknd,82,0.658,0.0811,0.572,0.0061,0.121,-6.099,0.0308,108.968,5,0.144,"['canadian contemporary r&b', 'canadian pop', 'pop']"
