track_id,name,album,artist_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6O20JhBJPePEkBdrB5sqRx,Diamonds,Unapologetic (Deluxe),Rihanna,77,barbadian pop,0.562,0.709,11,-4.92,0,0.0424,0.00124,0.0,0.109,0.401,91.958,225147,4
0rIAC4PXANcKmitJfoqmVm,Motivation,Motivation,Normani,67,pop,0.599,0.887,4,-3.967,1,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,193837,4
6IJTc8xo6XasOU8fpxMU57,Call You Mine (feat. Bebe Rexha),World War Joy...Push My Luck,The Chainsmokers,0,pop,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,217653,4
1HfMVBKM75vxSfsQ5VefZ5,Lose You To Love Me,Lose You To Love Me,Selena Gomez,24,pop,0.4,0.341,4,-9.0,1,0.0521,0.579,0.0,0.21,0.0852,102.744,206459,4
3Lp8Xd2K7TwlY32SPvXkvF,Lonely,Lonely,Noah Cyrus,0,alt z,0.594,0.26,5,-9.062,1,0.0601,0.779,0.0,0.0924,0.303,84.648,144387,3
1dGr1c8CrMLDpV6mPbImSI,Lover,Lover,Taylor Swift,88,pop,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4
6lOWoTqVnAWXchddtTH31W,Leave a Light On,Leave a Light On,Tom Walker,71,indie anthem-folk,0.586,0.624,5,-5.946,1,0.113,0.0153,1.78e-06,0.133,0.267,68.976,185863,4
01afuV689RNz1MKDhGuwWG,Knocking At The Door,Morning Report (Deluxe),Arkells,47,canadian rock,0.329,0.669,4,-7.125,0,0.0434,0.00911,8.76e-06,0.23,0.33,82.916,222720,4
2x3HyOx0Jd9MnlnAQRtIL3,Kissing Other People,Kissing Other People,Lennon Stella,0,alt z,0.699,0.663,2,-5.697,1,0.0891,0.568,3.83e-06,0.13,0.379,94.042,161627,4
1ydOxBgLmEMfWffu6t4H5x,Bad,"Love, me",Lennon Stella,44,alt z,0.827,0.613,8,-5.34,1,0.0621,0.366,1.25e-05,0.093,0.747,137.96,177973,4
